wallet,block,side,price_usd,size_eth
0xb1124d662e3b0e99fbbaae0b38b3425bdbd87651,50780552,SELL,2378.38823003,0.0018666553
0x3e0e212534f0b4c9d0bc4dc44cf735aac7c05b5f,50780556,BUY,2380.76840546,0.0019507798
0x0034a05dca91cb3234ef72456413746b70ca18c3,50780580,BUY,2380.77153125,0.0047791217
0x4e4995d4c89e85bcfa8f6edc9e60807cdc9c6b02,50780587,BUY,2380.77502336,0.1699477742
0xf2ba261efaf6265a2578411dd53e27186311ea0f,50780588,BUY,2380.86721641,0.3758822411
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.24683022,0.0335958452
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25307390,0.0033595757
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25647955,0.0167978546
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.25967234,0.0020997290
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.26359239,0.0211022418
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.26751244,0.0020997221
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.26857671,0.0041994423
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.27283378,0.0209971740
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.27673610,0.0020997140
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.27815512,0.0062991381
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.27957415,0.0020997115
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.28028366,0.0020997108
0xd5125dd532fab26a7bc1eb54046811be33b54bb1,50780591,BUY,2381.28773355,0.0419940852
0xd83e60d273fd0cb3b05c2611db940fecb7b6ca64,50780591,BUY,2381.29695875,0.0117593083
0x38adcfa589a565d104c907f394aaa7cb974f58b6,50780591,BUY,2381.30028506,0.0071173397
0xdb88cb1b11d1656a8407cd5e3e6d381d9008e7a1,50780592,BUY,2381.30977614,0.0496675981
0x34762be749c024fe561af9bdfaaf5c2e0bf8cce0,50780594,SELL,2379.68480808,0.0990000000
0x000000c557fa9a96d66cd6371abde62d879d0e61,50780600,SELL,2379.54105315,0.0444039626
0x824abda7e8bfcf47c543761c50bc7bf6756deda9,50780602,BUY,2381.89893214,0.0031124171
0x13c2d2571a5751d92c31c0f91e29a401418b4b25,50780602,BUY,2381.93284167,0.0000228680
0xfe68082a448f17a3d1700957b9f63176cecd334e,50780603,BUY,2381.90308168,0.0220629783
0xa971283289448b30188cec3f0e60ad92322e4970,50780604,SELL,2379.56470785,0.3581250000
0xa971283289448b30188cec3f0e60ad92322e4970,50780604,SELL,2379.11932166,0.6051562500
0xd83e60d273fd0cb3b05c2611db940fecb7b6ca64,50780605,BUY,2381.29919085,0.0002592140
0xe756fc75048de1553453afa4c30cfee0da23940d,50780605,BUY,2381.30547729,0.0000876246
0xd515f81b40c0e63d99d50099d9b4610a3606a818,50780605,BUY,2381.29898384,0.0062020377
0x675aaa99d5d093e1d837b28f1cd4908a1b25971d,50780610,BUY,2381.14532756,0.0011289391
0x9666f2a2b32faf6be24b3b6b9a4162bdc4890e76,50780610,BUY,2381.15390543,0.0174571614
0xbce58cc4a21bba0d080414e6c310d1ff3b9b693c,50780610,BUY,2381.15962960,0.0165704981
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780619,SELL,2378.11510656,0.6956250000
0xd83e60d273fd0cb3b05c2611db940fecb7b6ca64,50780650,BUY,2379.72709504,0.0002678761
0x8095640e015907710e085b68718c59a6202c4335,50780655,BUY,2379.72691145,0.0005148952
0xc518d65b3c1685d1e3198aff60045835598f719c,50780660,SELL,2377.07316979,0.5303096493
0x824abda7e8bfcf47c543761c50bc7bf6756deda9,50780662,BUY,2379.36715601,0.0268659050
0xf04a2505afb967a1b4f43304e17994e94bdc13a1,50780663,SELL,2376.91743821,0.4481250000
0xcc76a27bab15050c20c20453e9c436ca02c78b82,50780663,SELL,2376.68739507,0.9172912713
0x5e7b46d33dae15b8ca77e8d08b14b211e5426f5e,50780678,BUY,2378.91976972,0.0030452956
0xe9a0da4806312550fa8d519b362420618d5f0c64,50780684,BUY,2378.99229665,0.0006862851
0x6f30212a99f96150e7c958c943636b0c4f2d27da,50780684,BUY,2379.01967015,0.1672228755
0xfe68082a448f17a3d1700957b9f63176cecd334e,50780684,BUY,2379.04870354,0.0032097964
0xee690b66ae7b57e2be694de1db3a37a5c211d69e,50780690,BUY,2379.05272295,0.0048561076
0x0841a1262b83cc1db81799bf08f5ab61d636d2c8,50780692,BUY,2379.05556868,0.0001225200
0xe063fb3ab89dc232527351530c1974d32991b066,50780695,SELL,2376.66246465,0.0247500000
0xecca0eab42bcdc7823a10d4562c4d918a404948b,50780703,BUY,2379.03708319,0.0013264905
