wallet,block,side,price_usd,size_eth
0x5c096ef846447cb935c5d247e4ab2a867ecc33a9,25852394,BUY,2496.03672749,0.0001299957
0xb199ea67d5352674bb3a432b5e669b8cae21ffc8,25852398,BUY,2496.03135784,0.0155047067
0x37b716ac29d8ed21ddf623d9745378d543f25d90,25852398,SELL,2493.53558232,0.0002101590
0xe6291213d431d1da9921456aab3901fa91cd0f14,25852399,BUY,2496.07170718,1.4022033061
0x6a5ac574a26df5ac487c5074c2fd80c2578c81f7,25852400,BUY,2496.39727124,9.9707020752
0xd9d8f818a7a71ed0e1fe936b991508b0e88b1609,25852401,BUY,2497.18836089,17.6121557664
0x5b43453fce04b92e190f391a83136bfbecedefd1,25852413,BUY,2499.46963168,5.3336082884
0xebedc8e9ff409b23dd251f87ccbffa8075f87255,25852414,BUY,2499.87559771,8.9179695931
0x43debe92a7a32dca999593fad617dbd2e6b080a5,25852414,BUY,2500.13196134,0.0002251773
0x51301f41c8f83fbdffaeee11f846e9c114fb8046,25852415,BUY,2500.72567353,20.8985145137
0xe324921cf765e6028efbfac8991966ab8302abf2,25852416,BUY,2501.82964335,17.9903020130
0xbee841c6900a1947443f5ce6f72f774ecdce9541,25852416,BUY,2502.33919533,0.0013578107
0x7bf30399dba8051c2bf191afe2cd07ea4e064625,25852417,BUY,2502.87557577,18.9375956559
0x53599b56689154067fa68ef01bb2832e35b6dc38,25852417,SELL,2500.90907258,0.0049600000
0x6634ea13812241fee1f2d7d4b153d6c887b06f41,25852422,SELL,2500.11945316,1.1574160000
0xa127edc40fea07cdff89f8d812931f612ec13fa6,25852422,SELL,2499.71874548,13.0122850000
0x710f08b604b23549dfe1164983dd66885ae57f7d,25852433,SELL,2498.32720048,0.0039699476
0xb9332b6301e5983272c30dd5b48a4e3b1664511b,25852438,SELL,2498.29872609,1.0033444039
0x10a72e2349b59b8cb60e758fbe7d63dd55031f34,25852438,SELL,2498.26970102,0.0157272948
0xa90eca853a5acef06c287802e2632d9331fd3d2a,25852467,BUY,2499.19831620,5.0000000000
0x788b6308ce26a736cf80cb3faa23366abb1e7f4d,25852476,BUY,2499.48986320,0.0077012359
0x9eb9e9b2ba5c2665a16beaa8e137410358b6beaf,25852484,BUY,2500.17083782,8.9549295333
0x4b03c323b67f297fba42ef9541ae445ab29552b5,25852484,BUY,2500.42969039,0.0001778526
0x000000000121d39fc0e48f7aa4fa1fbb819c377c,25852506,BUY,2502.09189797,0.0032565942
0x9b3ab767642ac6d110eec3f2e08741f01f35e7e6,25852541,BUY,2500.63953630,0.0001523426
0xebedc8e9ff409b23dd251f87ccbffa8075f87255,25852550,SELL,2498.03948247,3.4390910377
0xf58f806e1ebf8e23ada8766384cb0673a5a076fe,25852552,BUY,2500.34903984,0.0001479269
0x678dbb52ace4548448a4ff3de807b212fa8f3593,25852554,BUY,2500.34760896,0.0059991659
0x7753a5b81e0add2d6965bcf94616d83d8af53192,25852560,BUY,2500.18823421,0.0005264544
0xeaff00295d932a936997cf1b5f47c33d0498ad03,25852563,SELL,2497.61407546,0.2331748723
0x48bcd5e0900b249fa09f238ca11084d750b88425,25852566,SELL,2497.45763566,4.1702954402
0x00000000bb95aa2c4c7600365a0f46ccf2f64ca8,25852568,BUY,2499.83711506,0.0000680036
0x8b906c704f55d660b855fe44c18a7221467276a8,25852568,BUY,2499.83988016,0.0002267121
0x00000000ffcb2a897a361707dc74b493473c3b49,25852568,BUY,2499.83817703,0.0000807368
0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,25852571,SELL,2497.07517657,1.3042038031
0x81a244fe80264676526db58a7541779a80339309,25852572,SELL,2496.98340451,1.9229665177
0x27ed38509c93d17cc99bd89d15757ce925f86a1b,25852574,BUY,2499.42788075,0.0120579138
0x039752a819b0a1dc964a118188a7a40fc0a5309a,25852580,BUY,2499.29318510,0.0001350878
0xebedc8e9ff409b23dd251f87ccbffa8075f87255,25852581,SELL,2496.52088835,9.5776237686
0x000000002aa6b2c548e79e9a2fd00c94b12a0b05,25852601,BUY,2497.65313579,0.0009367362
0x620ee0fe91d2e148434dd74ec8afc768edfc6675,25852602,BUY,2497.65342529,0.0017430521
0x00000000bb95aa2c4c7600365a0f46ccf2f64ca8,25852607,BUY,2497.52072312,0.0001770268
0x0000000000d2492efc939be52291b4e8e919fb47,25852608,BUY,2497.51612389,0.0014086728
0x00000000006090e73269e8521d4d5c8a0e145af5,25852609,BUY,2497.52387599,0.0001121619
0x8459ac2d2ec6c5726f18d6291f472c7149807660,25852620,BUY,2496.80192157,0.0001487531
0xc763c22ff2ed6bb63d211dd8d7f7c6bae98d2ae5,25852620,BUY,2496.82831524,0.0000289792
0xac706b01a61d29f83cf81c158fec004aa2f3b3ff,25852620,SELL,2494.30364507,0.0010957591
0x50b8f29379dc899771fed9d0d7bd77bca36cc49b,25852628,SELL,2494.23592015,2.3687976122
0xb79011fdfd4360c7ca047e6cffeff6e1a2da93d5,25852629,SELL,2492.08336474,9.1478576000
0xa883710b6dbf008a1cc25722c54583e35884a209,25852630,SELL,2491.37799342,4.1198502388
